"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.","4","['charge', 'size', 'look', 'feature']","['neutral', 'positive', 'positive', 'positive']"
"( The iBook backup also uses a firewire connection).","2","['iBook backup', 'firewire connection']","['neutral', 'neutral']"
"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.","2","['camera', 'specifications']","['neutral', 'neutral']"
"Also the display is exceptional!","1","['display']","['positive']"
"The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.","1","['repair depot']","['neutral']"
"Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.","2","['keyboard shortcuts', 'shortcuts']","['positive', 'neutral']"
"little short on RAM but you get what you pay for.","1","['RAM']","['negative']"
"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.","3","['software', 'windows media', 'price']","['negative', 'neutral', 'positive']"
"THEN, one month after the warranty expired, the replacement charger went.","2","['warranty', 'replacement charger']","['neutral', 'negative']"
"I love a ""pc"" but I was ready for a change and tired of the windows system.","1","['windows system']","['negative']"
"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.","2","['cursor', 'mousepad']","['negative', 'negative']"
"Other installed features, such as certain printer software, are also most attractive.","2","['features', 'printer software']","['positive', 'positive']"
"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.","3","['power', 'memory', 'speed']","['neutral', 'neutral', 'neutral']"
"Even doing so, the hinge may just be slightly tightened only.","1","['hinge']","['neutral']"
"company provides UPS shipping, fast, great!","1","['shipping']","['positive']"
"I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.","1","['technician']","['negative']"
"  Then I've fixed the DC jack (inside the unit), rewired the DC jack to the OUTside of the laptop, replaced the power brick.","3","['DC jack', 'DC jack', 'power brick']","['neutral', 'neutral', 'neutral']"
"It is easy to use, has great screen quality, and every so light weight.","2","['use', 'screen quality']","['positive', 'positive']"
"Great product, very easy to use and great graphics.","2","['use', 'graphics']","['positive', 'positive']"
"The iLife software that comes with the computer is so simple to use and produces a great finished product.","2","['iLife software', 'use']","['positive', 'positive']"
"The built-in webcam is great for Skype and similar video-chat services.","1","['built-in webcam']","['positive']"
"The shop will definitely push the problem to the service center.","1","['service center']","['neutral']"
"PC users work in Word, while Mac users work in Pages.","2","['Word', 'Pages']","['neutral', 'neutral']"
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.","3","['internet', 'gaming', 'applications']","['neutral', 'neutral', 'positive']"
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.","5","['17"" inch screen', 'price-point', 'appearance', 'boots up', 'runs']","['positive', 'positive', 'positive', 'positive', 'positive']"
"The apple systems are over priced luxurys that arn't worth what they are being charged for, this model's specifications are far from being impressive and they only thing you get out of this is the apple name.","1","['specifications']","['negative']"
"pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.","1","['battery life']","['positive']"
"Disappointing for such a lovely screen and at a reasonable price","2","['screen', 'price']","['positive', 'positive']"
"The only bad thing about it is they give you the worst batteries possible.","1","['batteries']","['negative']"
"Good price.","1","['price']","['positive']"
" THE MOTHERBOARD IS DEAD !","1","['MOTHERBOARD']","['negative']"
"the speed is fine.","1","['speed']","['positive']"
"Hmmm - that high failure rate sure isn't reflected in the retail price.","1","['retail price']","['negative']"
"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.","1","['Microsoft Student Edition']","['negative']"
"Good for every day computing and web browsing.","2","['every day computing', 'web browsing']","['positive', 'positive']"
"  Also, I have had alot of trouble with the keys sticking and will not type correctly.","1","['keys']","['negative']"
"Excellent LED monitor and well equipped.","1","['LED monitor']","['positive']"
"  This process continued to repeat itself until the mother board had been replaced 4 times and the hard drive replaced 3 times.","2","['mother board', 'hard drive']","['negative', 'negative']"
"Without a doubt, the *design* of this laptop is fantastic.","1","['design']","['positive']"
"I couldn't believe how long the battery lasted on a single charge.","2","['battery', 'charge']","['positive', 'positive']"
